Grid,Grid Type,Plant Type,Plant Subtype,Count
Luzon,Grid-Connected,Geothermal,None,4
Luzon,Grid-Connected,Hydroelectric,Large,12
Luzon,Grid-Connected,Hydroelectric,Small,6
Luzon,Grid-Connected,Hydroelectric,Mini,7
Luzon,Grid-Connected,Hydroelectric,Micro,0
Luzon,Grid-Connected,Wind,None,4
Luzon,Grid-Connected,Biomass,None,14
Luzon,Grid-Connected,Solar,None,9
Luzon,Embedded,Geothermal,None,2
Luzon,Embedded,Hydroelectric,Large,0
Luzon,Embedded,Hydroelectric,Small,1
Luzon,Embedded,Hydroelectric,Mini,8
Luzon,Embedded,Hydroelectric,Micro,6
Luzon,Embedded,Wind,None,1
Luzon,Embedded,Biomass,None,4
Luzon,Embedded,Solar,None,17
Visayas,Grid-Connected,Geothermal,None,4
Visayas,Grid-Connected,Hydroelectric,Large,0
Visayas,Grid-Connected,Hydroelectric,Small,2
Visayas,Grid-Connected,Hydroelectric,Mini,3
Visayas,Grid-Connected,Hydroelectric,Micro,1
Visayas,Grid-Connected,Wind,None,2
Visayas,Grid-Connected,Biomass,None,9
Visayas,Grid-Connected,Solar,None,13
Visayas,Embedded,Geothermal,None,0
Visayas,Embedded,Hydroelectric,Large,0
Visayas,Embedded,Hydroelectric,Small,0
Visayas,Embedded,Hydroelectric,Mini,0
Visayas,Embedded,Hydroelectric,Micro,3
Visayas,Embedded,Wind,None,0
Visayas,Embedded,Biomass,None,0
Visayas,Embedded,Solar,None,0
Mindanao,Grid-Connected,Geothermal,None,1
Mindanao,Grid-Connected,Hydroelectric,Large,10
Mindanao,Grid-Connected,Hydroelectric,Small,1
Mindanao,Grid-Connected,Hydroelectric,Mini,0
Mindanao,Grid-Connected,Hydroelectric,Micro,0
Mindanao,Grid-Connected,Wind,None,0
Mindanao,Grid-Connected,Biomass,None,1
Mindanao,Grid-Connected,Solar,None,2
Mindanao,Embedded,Geothermal,None,0
Mindanao,Embedded,Hydroelectric,Large,0
Mindanao,Embedded,Hydroelectric,Small,0
Mindanao,Embedded,Hydroelectric,Mini,0
Mindanao,Embedded,Hydroelectric,Micro,0
Mindanao,Embedded,Wind,None,0
Mindanao,Embedded,Biomass,None,0
Mindanao,Embedded,Solar,None,0
Off,Luzon,Geothermal,,0
Off,Luzon,Hydroelectric,,8
Off,Luzon,Wind,,1
Off,Luzon,Solar,,3
Off,Luzon,Storage,,1
Off,Visayas,,,0
Off,Mindanao,Hydroelectric,,0
